date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:22	940104/940104	---M-Z	200	added ('OK')	text/css	etag:%22e5848-625c91ac-472f100cd7d72d12;gz%22	https://5apps.click/apps/css/framework7.css	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/css/framework7.css	(from https://5apps.click/apps/)
16:40:22	86927/86927	---M-Z	200	added ('OK')	application/x-javascript	etag:%221538f-625c91ac-86828fff32e2daa4;gz%22	https://5apps.click/apps/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://5apps.click/apps/)
16:40:22	38720/38720	---M--	200	added ('OK')	image/png	etag:%229740-625c91ac-62bb5dc6f5483e6e;;;%22	https://5apps.click/apps/img/logoe358e358.png?t	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/img/logoe358e358e358.png	(from https://5apps.click/apps/)
16:40:22	4982/4982	---M--	200	added ('OK')	image/jpeg	etag:%221376-625c91ac-61f90196fb75c00b;;;%22	https://5apps.click/apps/i.imgur.com/0Ks3qm0.jpg	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/i.imgur.com/0Ks3qm0.jpg	(from https://5apps.click/apps/)
16:40:23	4982/4982	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jan%202022%2014:49:26%20GMT	https://05apps.us/apps/i.imgur.com/0Ks3qm0.jpg	C:/Users/FUJITSI/Desktop/rtr/05apps.us/apps/i.imgur.com/0Ks3qm0.jpg	(from https://5apps.click/apps/)
16:40:26	20941/20941	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jan%202022%2014:49:26%20GMT	https://05apps.us/apps/i.imgur.com/5M1ZsvA.png	C:/Users/FUJITSI/Desktop/rtr/05apps.us/apps/i.imgur.com/5M1ZsvA.png	(from https://5apps.click/apps/)
16:40:27	0/0	---M--	200	added ('OK')	application/x-javascript	etag:%220-625c91ac-e73751e44d3c7ced;;;%22	https://5apps.click/apps/js/ipscript.js	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/js/ipscript.12.delayed	(from https://5apps.click/apps/)
16:40:27	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:%226c7db-625c91ac-56391d9e1584ea2c;gz%22	https://5apps.click/apps/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.svg	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://5apps.click/apps/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
16:40:28	63157/63157	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f6b5-625c91ac-ceb9aeaa80ef00a4;gz%22	https://5apps.click/apps/netdna.bootstrapcdn.com/bootstrap/3.0.0/fonts/glyphicons-halflings-regular.svg	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/netdna.bootstrapcdn.com/bootstrap/3.0.0/fonts/glyphicons-halflings-regular.svg	(from https://5apps.click/apps/netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap-glyphicons.css)
16:40:29	20941/20941	---M--	200	added ('OK')	image/png	etag:%2251cd-625c91ac-9e24be1c0b2e6622;;;%22	https://5apps.click/apps/i.imgur.com/5M1ZsvA.png	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/i.imgur.com/5M1ZsvA.png	(from https://5apps.click/apps/)
16:40:29	12045/12045	---M--	200	added ('OK')	image/jpeg	etag:%222f0d-625c91ac-4b32a57ac5865cd1;;;%22	https://5apps.click/apps/i.imgur.com/aencyzF.jpg	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/i.imgur.com/aencyzF.jpg	(from https://5apps.click/apps/)
16:40:30	12045/12045	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jan%202022%2014:49:26%20GMT	https://05apps.us/apps/i.imgur.com/aencyzF.jpg	C:/Users/FUJITSI/Desktop/rtr/05apps.us/apps/i.imgur.com/aencyzF.jpg	(from https://5apps.click/apps/)
